t,time(ms)
1,54.908
2,30.6674
3,31.1068
4,25.1303
5,25.5889
6,21.295
7,22.0042
8,21.6708
9,20.2274
10,20.6709
11,21.2742
12,20.922
13,23.436
14,23.8296
15,24.3957
16,27.2554
17,30.2196
18,29.4408
19,28.9815
20,32.2252
