t,time(ms)
1,9.38263
2,4.96526
3,4.36174
4,3.84871
5,2.84682
6,3.86431
7,2.80739
8,2.87485
9,2.53629
10,2.58271
11,2.11594
12,2.10146
13,2.02988
14,2.26387
15,6.35283
16,3.66198
17,2.52382
18,2.30208
19,2.2588
20,2.21491
